S.No.,QR Code ID,Site Name,Zone & Circle,Ward,Building/Street,Type,Latitude,Longitude
76,MVNNDG54,ANIL RANA,2,24-Sarai Azamabad,BARF FACTORY KE PASS ,Dhalao Ghar,27.523914,77.66457
77,MVNNDG81,ANIL BAGHEL ,3,32-Ranchibagar,Kadam Vihar Colony Road,Dhalao Ghar,77.700171,27.427794
78,MVNNDG15,ANIL BAGHEL ,3,29-Koyla Alipur,kashiram colony mod,Dhalao Ghar,27.421098,77.69579
79,MVNNDG80,ANIL BAGHEL,3,32-Ranchibagar,SABJI MANDI ON ROAD ,Dhalao Ghar,27.424784,77.69704
80,MVNNDG87,AMAN -(UNDERGROUND DUSTBIN),3,52-Chandrapuri,INDUSTRIAL AREA,Dhalao Ghar,27.471803,77.664784
81,MVNNDG77,AMAN,3,41-Dhaulipiau,"DHOLI PIYAU ,POKHAR ",Dhalao Ghar,27.473712,77.673807
82,MVNNDG70,AMAN,3,41-Dhaulipiau,muskan hotel ke samne,Dhalao Ghar,27.479818,77.677701
83,MVNNDG69,AMAN,3,41-Dhaulipiau,Vijay baar ke samne,Dhalao Ghar,27.489002,77.677515
84,MVNNDG19,AMAN,3,57-Balajipuram,balajipuram Priyanshu janseva Kendra ke pass,Dhalao Ghar,27.451781,77.688808
85,MVNNDG18,AMAN,3,52-Chandrapuri,chandrapuri colony Chaudhary Charan Singh gate gali number 1 Mall ke paas,Dhalao Ghar,27.46006,77.671026
86,MVNNDG17,AMAN,3,52-Chandrapuri,chandrapuri colony Jyoti hospital ke samne,Dhalao Ghar,27.463074,77.670754
87,MVNNDG16,AMAN,3,52-Chandrapuri,chandrabangla industrial area Hanuman Mandir,Dhalao Ghar,27.473648,77.665531
88,MVNNDG40,ADIL MALIK,1,42-Manoharpur,MEWATI MOHALLA,Dhalao Ghar,27.5040235,77.6748159
